Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate,Label
19.632492065429688,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.329303137536766,56,2,4.796241044998169,11.675810176054522,Water_Sensor
19.891032218933105,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.412555849612944,56,2,4.796241044998169,11.675810176054522,Water_Sensor
20.116164207458496,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.427279698572886,56,2,4.796241044998169,11.675810176054522,Water_Sensor
20.35085511207581,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.434250404386514,56,2,4.796241044998169,11.675810176054522,Water_Sensor
20.627015113830566,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.280826531470462,56,2,4.796241044998169,11.675810176054522,Water_Sensor
20.81768226623535,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.3992503965973215,56,2,4.796241044998169,11.675810176054522,Water_Sensor
21.21190714836121,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.416021823891916,56,2,4.796241044998169,11.675810176054522,Water_Sensor
21.434717178344727,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.417837559712096,56,2,4.796241044998169,11.675810176054522,Water_Sensor
21.645766258239743,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.335237745312119,56,2,4.796241044998169,11.675810176054522,Water_Sensor
21.872562170028687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.378497557218257,56,2,4.796241044998169,11.675810176054522,Water_Sensor
22.12552618980408,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.425496386606639,56,2,4.796241044998169,11.675810176054522,Water_Sensor
22.46468305587769,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.365172160580463,56,2,4.796241044998169,11.675810176054522,Water_Sensor
22.58411121368408,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.42843919082772,56,2,4.796241044998169,11.675810176054522,Water_Sensor
22.849587202072144,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,4.391855531929344,56,2,4.796241044998169,11.675810176054522,Water_Sensor
23.079689264297485,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.460828977468465,56,2,4.796241044998169,11.675810176054522,Water_Sensor
23.29885315895081,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.367547949145273,78,24,8.551422119140625,9.12128987591582,Water_Sensor
23.521632194519043,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.445288014336222,78,24,8.551422119140625,9.12128987591582,Water_Sensor
23.76836109161377,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.429747051203979,66,0,9.15705704689026,7.207555840488472,Water_Sensor
24.006609201431274,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.2379218177024764,66,0,9.15705704689026,7.207555840488472,Water_Sensor
24.22269415855408,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.433378522844338,66,0,9.15705704689026,7.207555840488472,Water_Sensor
24.46562910079956,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.386285968921011,66,0,9.15705704689026,7.207555840488472,Water_Sensor
24.69422721862793,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,4.444830093484674,66,0,9.15705704689026,7.207555840488472,Water_Sensor
