Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate,device name
5.288095951080322,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1.0,0,0,3,1,52,0,0.0,66,0,14.365926027297974,4.594204360692623,Audio_Sensor
5.291671991348267,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1.0,0,0,3,1,40,0,0.0,54,0,14.369502067565918,3.7579590264220735,Audio_Sensor
5.298113822937012,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1.0,0,0,3,1,55,1,3.773557262275185,69,15,14.375943899154665,4.799684840454709,Audio_Sensor
5.302204847335815,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1.0,0,0,3,1,55,1,3.640223928941852,69,15,14.380034923553469,4.798319362005369,Audio_Sensor
5.305821895599365,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1.0,0,0,3,1,46,1,2.584962500721156,60,6,14.383651971817017,4.171402375249524,Audio_Sensor
5.309249877929688,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1.0,0,0,3,1,40,0,0.0,54,0,14.38707995414734,3.7533676167854697,Audio_Sensor
5.3105549812316895,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1.0,0,0,3,1,40,0,0.0,54,0,14.38838505744934,3.753027166314431,Audio_Sensor
18.327064037323,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1.0,0,0,3,1,52,0,0.0,66,0,27.40489411354065,2.408328954914285,Audio_Sensor
18.330468893051147,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1.0,0,0,3,1,40,0,0.0,54,0,27.4082989692688,1.9702061795424373,Audio_Sensor
18.33572196960449,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1.0,0,0,3,1,55,1,3.773557262275185,69,15,27.413552045822144,2.517003264832865,Audio_Sensor
18.33933687210083,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1.0,0,0,3,1,55,1,3.640223928941852,69,15,27.41716694831848,2.5166714026312564,Audio_Sensor
18.34260082244873,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1.0,0,0,3,1,48,1,3.0,62,8,27.420430898666385,2.2610877352410763,Audio_Sensor
18.346189975738525,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1.0,0,0,3,1,46,1,2.584962500721156,60,6,27.424020051956177,2.1878630443795988,Audio_Sensor
18.350212812423703,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0.0,0,0,3,3,52,0,0.0,66,0,27.42804288864136,2.40629636857292,Audio_Sensor
18.35326099395752,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,40,0,0.0,54,0,27.43109107017517,1.9685691634304785,Audio_Sensor
18.353564977645878,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1.0,0,0,3,1,57,1,4.08746284125034,71,17,27.431395053863525,2.588275217523074,Audio_Sensor
18.35982394218445,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,0.2439107377633235,1514,1460,27.4376540184021,55.1796446950085,Audio_Sensor
18.360234022140503,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.438064098358154,55.17881999884224,Audio_Sensor
18.360234022140503,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.438064098358154,55.17881999884224,Audio_Sensor
18.360234022140503,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.438064098358154,55.17881999884224,Audio_Sensor
18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679,Audio_Sensor
18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,932,1,-0.0,946,892,27.43851900100708,34.477079465013354,Audio_Sensor
18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679,Audio_Sensor
18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679,Audio_Sensor
18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679,Audio_Sensor
18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679,Audio_Sensor
18.364229917526245,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.442059993743896,55.17078529618965,Audio_Sensor
18.364229917526245,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.442059993743896,55.17078529618965,Audio_Sensor
18.364691019058228,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.44252109527588,55.16985829194203,Audio_Sensor
18.364691019058228,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.44252109527588,55.16985829194203,Audio_Sensor
18.366638898849487,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.44446897506714,55.16594259395016,Audio_Sensor
18.366638898849487,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0.0,0,0,3,3,1500,1,-0.0,1514,1460,27.44446897506714,55.16594259395016,Audio_Sensor
